Tier,Working_city,GDP,Population,GDP_per_capita
Tier 1,Tianjin,233.191,1.60E+07,87446.625
Tier 1,Beijing,319.719,21500000,89223.90698
Tier 1,Chongqing,206.408,30165500,41055.11263
Tier 1,Shanghai,352.292,35965403,58771.81468
Tier 1,Guangzhou,248.985,44294245,33726.95482
Tier 2,Shenzhen,210.161,10778900,116984.6645
Tier 2,Chengdu,115.108,1.80E+07,38369.33333
Tier 2,Wuhan,80.785,19780644,24504.2578
Tier 2,Hangzhou,48.733,21102000,13856.41171
Tier 2,Harbin,129.281,1.20E+07,64640.5
Tier 2,Shenyang,25.284,12263612,12370.25438
Tier 2,Nanjing,80.908,12652000,38369.26968
Tier 2,Jinan,115.588,1.30E+07,53348.30769
Tier 2,Hefei,130.307,3352076,233241.1318
Tier 2,Ningbo,78.532,3491597,134950.2821
Tier 2,Changchun,38.96,3530115,66218.8059
Tier 2,Shijiazhuang,123.535,3995290,185520.9509
Tier 2,Dalian,53.866,4087733,79064.85086
Tier 2,Fuzhou,75.542,4468076,101442.321
Tier 2,Zhengzhou,100.14,4867388,123441.9775
Tier 2,Changsha,115.5,7311500,94782.19244
Tier 2,Qingdao,84.254,9046200,55882.46999
Tier 2,Suzhou,129.364,1647642,471087.7727
Tier 2,Shantou,20,11630447,10317.74617
Tier 2,Xi'an,20,13569700,8843.231612
Tier 2,Guiyang,84.451,3037159,166835.5196
Tier 2,Nanning,78.863,3177450,148917.5282
Tier 2,Nantong,147.079,3180924,277426.9363
Tier 2,Tangshan,146.149,3187171,275132.398
Tier 2,Xiamen,134.721,3531347,228900.1902
Tier 2,Wuxi,234.131,3542319,396572.4149
Tier 2,Kunming,20,3583429,33487.47806
Tier 2,Taiyuan,20,4062173,29540.83935
Tier 2,Nanchang,20,4107962,29211.56525
Tier 2,Quanzhou,20,8128533,14762.81144
Tier 3,Daqing,28.312,1415268,120028.1501
Tier 3,Weifang,20,1521600,78864.35331
Tier 3,Yantai,48.65,1870600,156046.1884
Tier 3,Hohhot,20,1980774,60582.3784
Tier 3,Lanzhou,48.552,2492325,116883.6328
Tier 3,Xuzhou,25.863,2623066,59159.01468
Tier 3,Urumqi,45.966,2988715,92279.1233
Tier 3,Taizhou,20,3269300,36705.10507
Tier 3,Changzhou,20,3290548,36468.08981
Tier 3,Zibo,20,3484800,34435.26171
Tier 3,Wenzhou,39.731,9122102,26132.79264
Tier 3,Dongguan,20,NA,NA
Tier 3,Foshan,34.808,NA,NA
Tier 3,Zhuhai,20,NA,NA
Tier 3,Pingdingshan,20,1033975,116056.9646
Tier 3,Lianyungang,39.326,1049831,224756.175
Tier 3,Zhuzhou,52.48,1055373,298358.9688
Tier 3,Hengyang,20,1075516,111574.3513
Tier 3,Jinhua,20,1077300,111389.5851
Tier 3,Jinzhou,20,1091799,109910.3406
